DBMS,Option,Statement,Program variables,Influence
mysql,reverse_unordered_selects,if( pWInfo->pOrderBy==0 && (db->flags & SQLITE_ReverseOrder)!=0 ),pOrderBy,query
mysql,innodb_api_disable_rowlock,if (eng && eng->cfg_status & IB_CFG_DISABLE_ROWLOCK),eng,query
mysql,binlog_gtid_simple_recovery,if (binlog_gtid_simple_recovery && is_server_starting &&!is_relay_log) ,is_relay_log,Not influence
mysql,binlog_gtid_simple_recovery,if (binlog_gtid_simple_recovery && is_server_starting &&!is_relay_log) ,is_server_starting,Not influence
mysql,binlog_format,"if (variables.binlog_format == BINLOG_FORMAT_STMT &&
        (in_multi_stmt_transaction_mode() || in_sub_stmt)) ",in_sub_stmt,query
mysql,binlog_format,"if (!m_deterministic && !trust_function_creators &&
  (access == SP_CONTAINS_SQL || access == SP_MODIFIES_SQL_DATA) &&(mysql_bin_log.is_open() &&
thd->variables.binlog_format == BINLOG_FORMAT_STMT))",m_deterministic,Not influence
mysql,binlog_format,"if (!m_deterministic && !trust_function_creators &&
  (access == SP_CONTAINS_SQL || access == SP_MODIFIES_SQL_DATA) &&(mysql_bin_log.is_open() &&
thd->variables.binlog_format == BINLOG_FORMAT_STMT))",trust_function_creators,Not influence
mysql,binlog_format,"if (!m_deterministic && !trust_function_creators &&
  (access == SP_CONTAINS_SQL || access == SP_MODIFIES_SQL_DATA) &&(mysql_bin_log.is_open() &&
thd->variables.binlog_format == BINLOG_FORMAT_STMT))",access,Not influence
mysql,binlog_format," if (thd->query_name_consts && mysql_bin_log.is_open() && thd->variables.binlog_format == BINLOG_FORMAT_STMT &&!mysql_bin_log.is_query_in_union(thd, thd->query_id))",query_name_consts,query
mysql,binlog_format,"if (!using_limit && const_cond_result && !no_rows &&
      !(specialflag & SPECIAL_NO_NEW_FUNC) &&
      ((!thd->is_current_stmt_binlog_format_row() ||  
        thd->is_current_stmt_binlog_disabled()) &&    
       !has_delete_triggers)) ",using_limit,query
mysql,binlog_format,"if (!using_limit && const_cond_result && !no_rows &&
      !(specialflag & SPECIAL_NO_NEW_FUNC) &&
      ((!thd->is_current_stmt_binlog_format_row() ||  
        thd->is_current_stmt_binlog_disabled()) &&    
       !has_delete_triggers)) ",const_cond_result,Not influence
mysql,binlog_format,"if (!using_limit && const_cond_result && !no_rows &&
      !(specialflag & SPECIAL_NO_NEW_FUNC) &&
      ((!thd->is_current_stmt_binlog_format_row() ||  
        thd->is_current_stmt_binlog_disabled()) &&    
       !has_delete_triggers)) ",no_rows,Table data
mysql,binlog_format,"if (!using_limit && const_cond_result && !no_rows &&
      !(specialflag & SPECIAL_NO_NEW_FUNC) &&
      ((!thd->is_current_stmt_binlog_format_row() ||  
        thd->is_current_stmt_binlog_disabled()) &&    
       !has_delete_triggers)) ",has_delete_triggers,Table Structure
mysql,binlog_format, if (!thd->is_current_stmt_binlog_format_row() || table->s->tmp_table),tmp_table,query
mysql,binlog_format," if (thd->variables.binlog_format == BINLOG_FORMAT_STMT &&
      thd->lex->drop_temporary && (thd->in_sub_stmt & SUB_STMT_FUNCTION) &&
      thd->binlog_evt_union.do_union) ",drop_temporary,Not influence
mysql,binlog_format," if (thd->variables.binlog_format == BINLOG_FORMAT_STMT &&
      thd->lex->drop_temporary && (thd->in_sub_stmt & SUB_STMT_FUNCTION) &&
      thd->binlog_evt_union.do_union) ",in_sub_stmt,query
mysql,binlog_format," if (thd->variables.binlog_format == BINLOG_FORMAT_STMT &&
      thd->lex->drop_temporary && (thd->in_sub_stmt & SUB_STMT_FUNCTION) &&
      thd->binlog_evt_union.do_union) ",do_union,Not influence
mysql,binlog_format,"if (!m_auto_increment_safe_stmt_log_lock &&
      thd->lex->sql_command != SQLCOM_INSERT &&
      binlog_format != BINLOG_FORMAT_UNSPEC &&
      binlog_format != BINLOG_FORMAT_ROW)",m_auto_increment_safe_stmt_log_lock,Not influence
mysql,binlog_format,if (lock_type == F_WRLCK && !(table_flags() & HA_BINLOG_STMT_CAPABLE) &&thd_binlog_format(thd) == BINLOG_FORMAT_STMT &&thd_binlog_filter_ok(thd) && thd_sqlcom_can_generate_row_events(thd)),lock_type,Not influence
mysql,binlog_error_action," if ((opt_binlog_order_commits || Clone_handler::need_commit_order()) &&
      (sync_error == 0 || binlog_error_action != ABORT_SERVER))",sync_error,Not influence
mysql,binlog_direct_non_transactional_updates,"  if (lex->is_mixed_stmt_unsafe(multi_stmt_trans, binlog_direct, trans_table,
                                  tx_isolation))",multi_stmt_trans,Not influence
mysql,binlog_direct_non_transactional_updates,"  if (lex->is_mixed_stmt_unsafe(multi_stmt_trans, binlog_direct, trans_table,
                                  tx_isolation))",trans_table,Not influence
mysql,binlog_encryption,if (!existing && rpl_encryption.is_enabled()),existing,Not influence
mysql,automatic_sp_privileges," if (sp_automatic_privileges && !opt_noacl &&
  check_routine_access( thd, DEFAULT_CREATE_PROC_ACLS, lex->sphead->m_db.str, name,lex->sql_command == SQLCOM_CREATE_PROCEDURE, true)) ",name,Not influence
mysql,innodb_buffer_pool_instances, if (srv_n_page_cleaners > srv_buf_pool_instances),srv_n_page_cleaners,Not influence
mysql,max_heap_table_size,if (rowlen * distinct_rowcount < join->thd->variables.max_heap_table_size),rowlen,Table data
mysql,max_heap_table_size,if (rowlen * distinct_rowcount < join->thd->variables.max_heap_table_size),distinct_rowcount,Table data
mysql,max_heap_table_size,if (tab->table()->s->reclength * inner_query_rowcount <thd->variables.max_heap_table_size),reclength,Table data
mysql,max_heap_table_size,if (tab->table()->s->reclength * inner_query_rowcount <thd->variables.max_heap_table_size),inner_query_rowcount,Table data
mysql,max_heap_table_size, if (outer_fanout * rowsize < thd->variables.max_heap_table_size),rowsize,Table data
mysql,long_query_time, if (my_micro_time() > utime_after_lock + variables.long_query_time),utime_after_lock,Not influence
mysql,select_limit,"if (!is_force_index && (select_limit >= table_records) &&(tab->type() == JT_ALL &&
join->primary_tables > join->const_tables + 1) &&((unsigned)best_key != table->s->primary_key ||!table->file->primary_key_is_clustered())) ",is_force_index,Not influence
mysql,select_limit,"if (!is_force_index && (select_limit >= table_records) &&(tab->type() == JT_ALL &&
join->primary_tables > join->const_tables + 1) &&((unsigned)best_key != table->s->primary_key ||!table->file->primary_key_is_clustered())) ",table_records,Table data
mysql,select_limit,"if (!is_force_index && (select_limit >= table_records) &&(tab->type() == JT_ALL &&
join->primary_tables > join->const_tables + 1) &&((unsigned)best_key != table->s->primary_key ||!table->file->primary_key_is_clustered())) ",primary_tables,Not influence
mysql,select_limit,"if (!is_force_index && (select_limit >= table_records) &&(tab->type() == JT_ALL &&
join->primary_tables > join->const_tables + 1) &&((unsigned)best_key != table->s->primary_key ||!table->file->primary_key_is_clustered())) ",const_tables,Not influence
mysql,select_limit," if (is_covering || select_limit != HA_POS_ERROR ||
          (ref_key < 0 && (group || table->force_index_order))) ",is_covering,query
mysql,select_limit," if (is_covering || select_limit != HA_POS_ERROR ||
          (ref_key < 0 && (group || table->force_index_order))) ",ref_key,query
mysql,select_limit," if (is_covering || select_limit != HA_POS_ERROR ||
          (ref_key < 0 && (group || table->force_index_order))) ",group,query
mysql,select_limit," if (is_covering || select_limit != HA_POS_ERROR ||
          (ref_key < 0 && (group || table->force_index_order))) ",force_index_order,query
mysql,select_limit,if (select_limit > table_records / rec_per_key),table_records,Table data
mysql,select_limit,if (select_limit > table_records / rec_per_key),rec_per_key,Table data
mysql,select_limit,if (select_limit > refkey_rows_estimate),refkey_rows_estimate,Table data
mysql,select_limit,if (multitable && select->select_limit) ,multitable,query
mysql,select_limit," if ((!view->is_view() && !view->belong_to_view) ||
      thd->lex->sql_command == SQLCOM_INSERT ||
      thd->lex->select_lex->select_limit == nullptr)",belong_to_view,Not influence
mysql,select_limit,if (unit->select_limit_cnt != HA_POS_ERROR || unit->offset_limit_cnt != 0),select_limit_cnt,query
mysql,select_limit,if (unit->select_limit_cnt != HA_POS_ERROR || unit->offset_limit_cnt != 0) ,select_limit_cnt,query
mysql,select_limit,if (unit->select_limit_cnt == 0 && !calc_found_rows) ,calc_found_rows,Table data
mysql,max_join_size,if (!(thd->variables.option_bits & OPTION_BIG_SELECTS) &&best_read > (double)thd->variables.max_join_size &&!thd->lex->is_explain()),best_read,query
mysql,lock_wait_timeout,"if (thd->mdl_context.acquire_locks(&mdl_requests,
  thd->variables.lock_wait_timeout))",mdl_requests,Not influence
mysql,innodb_checkpoint_disabled,if (*(bool *)save && !srv_checkpoint_disabled) ,save,Not influence
mysql,innodb_checkpoint_disabled, if (*(bool *)save && !srv_checkpoint_disabled),save,Not influence
mysql,max_allowed_packet,if (length > current_thd->variables.max_allowed_packet / (uint)count) ,length,Table data
mysql,max_allowed_packet,if (length > current_thd->variables.max_allowed_packet / (uint)count) ,count,Table data
mysql,max_allowed_packet,if (tot_length > current_thd->variables.max_allowed_packet),tot_length,Table data
mysql,max_allowed_packet," if (cast_length >= 0 &&
      static_cast<ulonglong>(cast_length) > thd->variables.max_allowed_packet) ",cast_length,Table data
mysql,max_allowed_packet, if (tmp_value.length() > current_thd->variables.max_allowed_packet),tmp_value,Not influence
mysql,max_allowed_packet,if (new_size > current_thd->variables.max_allowed_packet) ,new_size,Table data
mysql,max_allowed_packet, if (str_value.length() + length > current_thd->variables.max_allowed_packet),length,Table data
mysql,innodb_cmp_per_index_enabled,if (!srv_cmp_per_index_enabled && *(bool *)save) ,save,Not influence
mysql,innodb_commit_concurrency, if (commit_threads <= innobase_commit_concurrency),commit_threads,Not influence
mysql,max_error_count," if (m_allow_unlimited_conditions ||
      m_conditions_list.elements() < thd->variables.max_error_count) ",m_allow_unlimited_conditions,Not influence
mysql,net_buffer_length, if (total_length + row_length < opt_net_buffer_length),row_length,Table data
mysql,sort_buffer_size,  if ((memavl - sizeof(BUFFPEK)) / (sort_length + sizeof(char *)) > UINT_MAX32),sort_length,Table data
mysql,cache_size, if (num_keys == 0 || num_keys * MI_MIN_SIZE_BULK_INSERT_TREE > cache_size),num_keys,Table Structure
mysql,cache_size,if (rows && rows * total_keylength < cache_size),rows,Table data
mysql,cache_size,if (rows && rows * total_keylength < cache_size),total_keylength,Table data
mysql,cte_max_recursion_depth,"if (++m_recursive_iteration_count >
        thd()->variables.cte_max_recursion_depth)",m_recursive_iteration_count,workload
mysql,eq_range_index_dive_limit,if (*count >= limit),count,Table data
mysql,event_scheduler,if (opt_event_scheduler != Events::EVENTS_DISABLED && !event_already_exists) ,event_already_exists,query
mysql,flush,if (flush && os_fsync_threshold != 0),os_fsync_threshold,Not influence
mysql,ft_min_word_len,"if (((length >= ft_min_word_len &&
!is_stopword((char *)word->pos, word->len)) ||param->trunc) &&length < ft_max_word_len) ",length,Not influence
mysql,ft_min_word_len,"if (((length >= ft_min_word_len &&
!is_stopword((char *)word->pos, word->len)) ||param->trunc) &&length < ft_max_word_len) ",is_stopword,Not influence
mysql,ft_max_word_len,"if (skip_stopwords == false ||
        (length >= ft_min_word_len && length < ft_max_word_len &&
         !is_stopword((char *)word->pos, word->len)))",skip_stopwords,Not influence
