Options,Statement,Location,Variables,Num of config var,Num of program var,,,,
binlog_format,if(thd->get_transaction()->has_dropped_temp_table(Transaction_ctx::STMT)||thd->get_transaction()->has_created_temp_table(Transaction_ctx::STMT)|| thd->variables.binlog_format==BINGLOG_FORMAT_STMT),"mysql-server\sql\binlog.cc 2636,25",binlog_format,1,0,,,,
binlog_format,if(!thd->is_current_stmt_binlog_format_row()),mysql-server\sql\binlog.cc 7036,thd->is_current_stmt_binlog_format_row(),1,0,,,,
binlog_direct_non_transactional_updates,"if(lex->is_mixed_stmt_unsafe(multi_stmt_trans,binlog_direct,trans_table,tx_isolation))",mysql-server\sql\binlog.cc 10190,binlog_direct,1,4,,,,
binlog_encryption,if(!existing&&rpl_encryption.is_enabled()),mysql-server\sql\binlog.cc 421,rpl_encryption.is_enabled(),1,1,,,,
binlog_checksum,if(alg!=BINLOG_CHECKSUM_ALG_OFF && alg !=BINLOG_CHECKSUM_ALG_UNDEF),mysql-server\libbinlogevents\src\binlog_event.cpp 127,alg,1,0,,,,
binlog_checksum,if(verify_checksum),mysql-server\sql\binlog_reader.cc 89,verify_checksum,1,0,,,,
big_tables,if ((thd->variables.big_tables) && !(select_options & SELECT_SMALL_RESULT)) {,mysql-server\sql\sql_tmp_table.cc 2013,big_tables,2,0,,,,
automatic_sp_privileges,if(sp_automatic_privileges &&!opt_noacl),mysql-server\sql\sql_parse.cc 4323,sp_automatic_privileges,2,0,,,,
max_heap_table_size,if (rowlen * distinct_rowcount < join->thd->variables.max_heap_table_size),sql\sql_optimizer.c:10326,max_heap_table_size,1,2,,,,
max_heap_table_size,if (tab->table()->s->reclength * inner_query_rowcount <thd->variables.max_heap_table_size),sql\sql_planner.cc:917,max_heap_table_size,1,2,,,,
max_heap_table_size,if (outer_fanout * rowsize < thd->variables.max_heap_table_size),mysql-server\sql\sql_planner.cc 4026,max_heap_table_size,1,2,,,,
tmp_table_size,if (thd->variables.tmp_table_size == ~(ulonglong)0),mysql-server\sql\sql_tmp_table.cc 2151,tmp_table_size,1,0,,,,
long_query_time,if (my_micro_time() > utime_after_lock + variables.long_query_time),mysql-server\sql\sql_class.cc 3185,long_query_time,1,1,,,,
select_limit,if (!(unit->global_parameters()->select_limit = new Item_int(1))),\mysql-8.0.17\sql\item_subselect.cc:407,select_limit ,1,2,,,,
