Options,Statement,Location,Variables,Num of config var,Num of program var,,,,
enable_seqscan,if (!enable_seqscan),src\backend\optimizer\path\costsize.c:246,enable_seqscan,1,0,,,,
enable_indexscan,if (!enable_indexscan),src\backend\optimizer\path\costsize.c:548,enable_indexscan,1,0,,,,
enable_indexonlyscan,if (!enable_indexonlyscan),src\backend\optimizer\path\indxpath.c:1815,enable_indexonlyscan,1,0,,,,
enable_bitmapscan,if (!enable_bitmapscan),src\backend\optimizer\path\costsize.c:983,enable_bitmapscan,1,0,,,,
enable_tidscan,if (!enable_tidscan),src\backend\optimizer\path\costsize.c:1344,enable_tidscan,1,0,,,,
enable_tidscan,else if (!enable_tidscan),src\backend\optimizer\path\costsize.c:1255,enable_tidscan,1,0,,,,
enable_sort,if (!enable_sort),src\backend\optimizer\path\costsize.c:2050,enable_sort,1,0,,,,
enable_incremental_sort,if (presorted_keys == 0 || !enable_incremental_sort),src\backend\optimizer\plan\planner.c:4164,enable_incremental_sort,1,1,,,,
enable_incremental_sort,if (!enable_incremental_sort),src\backend\optimizer\plan\planner.c:4615,enable_incremental_sort,1,0,,,,
enable_incremental_sort,if (enable_incremental_sort && list_length(root->sort_pathkeys) > 1),src\backend\optimizer\plan\planner.c:4596,enable_incremental_sort,1,1,,,,
enable_incremental_sort,if (is_sorted || !enable_incremental_sort),src\backend\optimizer\plan\planner.c:6076,enable_incremental_sort,1,1,,,,
enable_incremental_sort,if (is_sorted || !enable_incremental_sort),src\backend\optimizer\plan\planner.c:6203,enable_incremental_sort,1,1,,,,
enable_incremental_sort,if (enable_incremental_sort && list_length(root->group_pathkeys) > 1),src\backend\optimizer\plan\planner.c:6494,enable_incremental_sort,1,1,,,,
enable_incremental_sort,if (is_sorted || !enable_incremental_sort),src\backend\optimizer\plan\planner.c:6597,enable_incremental_sort,1,1,,,,
enable_incremental_sort,if (!enable_incremental_sort || list_length(root->group_pathkeys) == 1),src\backend\optimizer\plan\planner.c:6754,enable_incremental_sort,1,1,,,,
enable_hashagg,if (!enable_hashagg),src\backend\optimizer\path\costsize.c:2636,enable_hashagg,1,0,,,,
enable_hashagg,if (!enable_hashagg),src\backend\optimizer\prep\prepunion.c:1049,enable_hashagg,1,0,,,,
enable_material,"else if (enable_material && innersortkeys != NIL &&
			 relation_byte_size(inner_path_rows,
								inner_path->pathtarget->width) >
			 (work_mem * 1024L))",src\backend\optimizer\path\costsize.c:3609,enable_material,1,4,,,,
enable_material,"if (enable_material && inner_cheapest_total != NULL &&
			!ExecMaterializesOutput(inner_cheapest_total->pathtype))
			matpath = (Path *)",src\backend\optimizer\path\joinpath.c:1655,enable_material,1,2,,,,
