Option,Statement,Location,True'Branch,No.,False'Branch
alter_algorithm,"if (requested_lock == Alter_info::ALTER_TABLE_LOCK_SHARED && algorithm(thd) == Alter_info::ALTER_TABLE_ALGORITHM_DEFAULT &&
thd->variables.alter_algorithm ==
Alter_info::ALTER_TABLE_ALGORITHM_DEFAULT)",sql/sql_alter.cc:188,sql/sql_alter.cc:190,0,
alter_algorithm,"if ((thd->variables.alter_algorithm == Alter_info::ALTER_TABLE_ALGORITHM_COPY &&
       alter_info->algorithm(thd) !=
       Alter_info::ALTER_TABLE_ALGORITHM_INPLACE)
      || is_inplace_alter_impossible(table, create_info, alter_info)|| IF_PARTITIONING((partition_changed &&
          !(old_db_type->partition_flags() & HA_USE_AUTO_PARTITION)), 0))",sql/sql_table.cc:10562,sql/sql_table.cc:10569,1,
alter_algorithm,"if (ha_alter_info.inplace_supported == HA_ALTER_INPLACE_EXCLUSIVE_LOCK &&
alter_info->requested_lock == Alter_info::ALTER_TABLE_LOCK_SHARED &&
alter_info->algorithm(thd) ==
Alter_info::ALTER_TABLE_ALGORITHM_DEFAULT &&
thd->variables.alter_algorithm ==Alter_info::ALTER_TABLE_ALGORITHM_DEFAULT)",sql/sql_table.cc:10830,sql/sql_table.cc:10832,2,
analyze_sample_percentage,if (thd->variables.sample_percentage == 0),sql/sql_statistics.cc:2742,sql/sql_statistics.cc:2744,3,
autocommit,if (!(mysql->server_status & SERVER_STATUS_AUTOCOMMIT)),sql-common/client.c:3515,sql-common/client.c:3516,4,
autocommit,f (file->autocommit),storage/maria/ha_maria.cc:3024,storage/maria/ha_maria.cc:3026,5,
autocommit,if (concurrent_insert || !info->autocommit),storage/maria/ma_state.c:642,storage/maria/ma_state.c:644,6,storage/maria/ma_state.c:649
autocommit,if (opt_autocommit),client/mysqldump.c:4318,client/mysqldump.c:4320,7,
autocommit,if (opt_autocommit),client/mysqldump.c:4590,client/mysqldump.c:4592,8,
autocommit,if (!(mysql->server_status & SERVER_STATUS_AUTOCOMMIT)),libmysqld/lib_sql.cc:264,libmysqld/lib_sql.cc:265,9,
autocommit, if (!(mysql->server_status & SERVER_STATUS_AUTOCOMMIT)),libmysqld/libmysql.c:1472,libmysqld/libmysql.c:1473,10,
autocommit, if (ha_info_all->is_started()) /* FALSE if autocommit. */,sql/handler.cc:1636,sql/handler.cc:1637,11,
autocommit, if (lex->autocommit),sql/log_event_server.cc:1520,sql/log_event_server.cc:1521,12,
automatic_sp_privileges,"if (sp_automatic_privileges && !opt_noacl &&
check_routine_access(thd, DEFAULT_CREATE_PROC_ACLS,
&lex->sphead->m_db, name,Sp_handler::handler(lex->sql_command), 1))",sql/sql_parse.cc:3131,sql/sql_parse.cc:3136,13,
automatic_sp_privileges,"if (sp_result != SP_KEY_NOT_FOUND &&
      sp_automatic_privileges && !opt_noacl &&
      sp_revoke_privileges(thd, lex->spname->m_db.str, lex->spname->m_name.str,Sp_handler::handler(lex->sql_command)))",sql/sql_parse.cc:6370,sql/sql_parse.cc:6375,14,
big_tables,"if (share->blob_fields || m_using_unique_constraint ||
      (thd->variables.big_tables &&
       !(m_select_options & SELECT_SMALL_RESULT)) ||
      (m_select_options & TMP_TABLE_FORCE_MYISAM) ||
      thd->variables.tmp_memory_table_size == 0)",sql/sql_select.cc:21351,sql/sql_select.cc:21356,15,sql/sql_select.cc:21366
bulk_insert_buffer_size,if (rows && rows*total_keylength < cache_size),storage/maria/ma_write.c:1770,storage/maria/ma_write.c:1771,16,storage/maria/ma_write.c:1773
bulk_insert_buffer_size,if (rows && rows*total_keylength < cache_size),storage/myisam/mi_write.c:997,storage/myisam/mi_write.c:998,17,storage/myisam/mi_write.c:1000
check_constraint_checks,"if (check_constraints &&
      !(in_use->variables.option_bits & OPTION_NO_CHECK_CONSTRAINT_CHECKS))",sql/table.cc:6430,sql/table.cc:6432,18,
check_constraint_checks,if (get_flags(NO_CHECK_CONSTRAINT_CHECKS_F)),sql/log_event_server.cc:4814,sql/log_event_server.cc:4815,19,sql/log_event_server.cc:4817
completion_type,if (tx_chain),sql/sql_parse.cc:5403,sql/sql_parse.cc:5405,20,sql/sql_parse.cc:5411
concurrent_insert,if (lock_type == TL_WRITE_CONCURRENT_INSERT && ! lock->check_status),mysys/thr_lock.c:768,mysys/thr_lock.c:769,21,
concurrent_insert, if (lock_type == TL_WRITE_CONCURRENT_INSERT),mysys/thr_lock.c:857,mysys/thr_lock.c:859,22,
concurrent_insert,if (using_concurrent_insert),mysys/thr_lock.c:920,mysys/thr_lock.c:926,23,
concurrent_insert,"if (duplic == DUP_UPDATE ||
      (duplic == DUP_REPLACE && *lock_type == TL_WRITE_CONCURRENT_INSERT))",sql/sql_insert.cc:441,sql/sql_insert.cc:443,24,
concurrent_insert,"if (!res && first_table->lock_type ==  TL_WRITE_CONCURRENT_INSERT &&
            thd->lock)",sql/sql_parse.cc:4605,sql/sql_parse.cc:4600,25,
concurrent_insert," if ((lock_type >= TL_WRITE_CONCURRENT_INSERT &&
         lock_type <= TL_WRITE) && !thd_in_lock_tables(thd)
        && !thd_tablespace_op(thd))",storage/blackhole/ha_blackhole.cc:224,storage/blackhole/ha_blackhole.cc:225,26,
