Option,Statement,Location,True'Branch,No.,False'Branch
innodb_api_disable_rowlock,if (ib_disable_row_lock) ,storage/innobase/api/api0api.cc:2770,storage/innobase/api/api0api.cc:2771,0,storage/innobase/api/api0api.cc:2774
innodb_api_disable_rowlock,if (eng && eng->cfg_status & IB_CFG_DISABLE_ROWLOCK),plugin/innodb_memcached/innodb_memcache/src/innodb_api.cc:1896,plugin/innodb_memcached/innodb_memcache/src/innodb_api.cc:1898,1,plugin/innodb_memcached/innodb_memcache/src/innodb_api.cc:1893
binlog_transaction_compression, if (thd->variables.binlog_trx_compression == false) ,sql/binlog.cc:1877,sql/binlog.cc:1877,2,sql/binlog.cc:1881
binlog_transaction_compression," if (m_compressor == nullptr ||
      (m_compressor->compression_type_code() != ctype))",sql/rpl_context.cc:225,sql/rpl_context.cc:226,3,sql/rpl_context.cc:258
binlog_order_commits,if ((opt_binlog_order_commits ||Clone_handler::need_commit_order()),sql/binlog.cc:8895,sql/binlog.cc:8897,4,sql/binlog.cc:8936
binlog_gtid_simple_recovery,if (binlog_gtid_simple_recovery && is_server_starting &&!is_relay_log) ,sql/binlog.cc:4584,sql/binlog.cc:4588,5,sql/binlog.cc:4584
binlog_gtid_simple_recovery, if (binlog_gtid_simple_recovery),sql/binlog.cc:4731,sql/binlog.cc:4731,6,sql/binlog.cc:4731
binlog_format, if ((out += (param->trans_ctx_info.binlog_format != BINLOG_FORMAT_ROW))),plugin/group_replication/src/observer_trans.cc:117,plugin/group_replication/src/observer_trans.cc:118,7,plugin/group_replication/src/observer_trans.cc:122
binlog_format,  if (startup_pre_reqs.binlog_format != BINLOG_FORMAT_ROW),plugin/group_replication/src/plugin.cc:2378,plugin/group_replication/src/plugin.cc:2379,8,plugin/group_replication/src/plugin.cc:2383
binlog_format,"if (thd->lex->sql_command == SQLCOM_CREATE_TABLE &&
!thd->lex->select_lex->field_list_is_empty() && !(thd->lex->create_info->options & HA_LEX_CREATE_TMP_TABLE) &&thd->is_current_stmt_binlog_format_row())",sql/binlog.cc:2530,sql/binlog.cc:2539,9,sql/binlog.cc:2541
binlog_format, if (thd->variables.binlog_format == BINLOG_FORMAT_STMT)) ,sql/binlog.cc:2614,sql/binlog.cc:2621,10,sql/binlog.cc:2627
binlog_format, if (mysql_bin_log.is_open() && (variables.option_bits & OPTION_BIN_LOG) &&!(variables.binlog_format == BINLOG_FORMAT_STMT &&!binlog_filter>db_ok(m_db.str))),sql/binlog.cc:9933,sql/binlog.cc:9941,11,sql/binlog.cc:10486
binlog_format,if (variables.binlog_format != BINLOG_FORMAT_ROW && tables),sql/binlog.cc:10021,sql/binlog.cc:10028,12,sql/binlog.cc:10073
binlog_format," if (variables.binlog_format == BINLOG_FORMAT_ROW &&
sqlcom_can_generate_row_events(this->lex>sql_command))",sql/binlog.cc:10294,sql/binlog.cc:10300,13,sql/binlog.cc:10301
binlog_format,if (variables.binlog_format == BINLOG_FORMAT_STMT),sql/binlog.cc:10333,sql/binlog.cc:10334,14,sql/binlog.cc:10365
binlog_format,"if (variables.binlog_format == BINLOG_FORMAT_ROW &&
        (lex->sql_command == SQLCOM_UPDATE ||
         lex->sql_command == SQLCOM_UPDATE_MULTI ||
         lex->sql_command == SQLCOM_DELETE ||
         lex->sql_command == SQLCOM_DELETE_MULTI)) ",sql/binlog.cc:10454,sql/binlog.cc:10459,15,sql/binlog.cc:10486
binlog_format,"if (variables.binlog_format == BINLOG_FORMAT_STMT &&
        (in_multi_stmt_transaction_mode() || in_sub_stmt)) ",sql/binlog.cc:10653,sql/binlog.cc:10655,16,sql/binlog.cc:10661
binlog_format,if (is_current_stmt_binlog_format_row()) ,sql/binlog.cc:11511,sql/binlog.cc:11511,17,sql/binlog.cc:11509
binlog_format,"if (!m_deterministic && !trust_function_creators &&
  (access == SP_CONTAINS_SQL || access == SP_MODIFIES_SQL_DATA) &&(mysql_bin_log.is_open() &&
thd->variables.binlog_format == BINLOG_FORMAT_STMT))",/sql/item_func.cc:8094,/sql/item_func.cc:8095,18,/sql/item_func.cc:8104
binlog_format,if (global_system_variables.binlog_format == BINLOG_FORMAT_STMT),sql/mysqld.cc:5841,sql/mysqld.cc:5842,19,sql/mysqld.cc:5844
binlog_format,if (log_on == false || thd->variables.binlog_format == BINLOG_FORMAT_ROW),sql/sql_base.cc:4332,sql/sql_base.cc:4333,20,sql/sql_base.cc:4342
binlog_format,"  if ((alter_info.flags & Alter_info::ADD_FOREIGN_KEY) &&
 (create_info.db_type->flags & HTON_SUPPORTS_ATOMIC_DDL) &&mysql_bin_log.is_open() &&
 (thd->variables.option_bits & OPTION_BIN_LOG) &&
thd->variables.binlog_format ==BINLOG_FORMAT_ROW)",sql/sql_cmd_ddl_table.cc:253,sql/sql_cmd_ddl_table.cc:254,21,sql/sql_cmd_ddl_table.cc:259
binlog_format," if (thd->query_name_consts && mysql_bin_log.is_open() && thd->variables.binlog_format == BINLOG_FORMAT_STMT &&!mysql_bin_log.is_query_in_union(thd, thd->query_id))",sql/sql_cmd_ddl_table.cc:275,sql/sql_cmd_ddl_table.cc:276,22,sql/sql_cmd_ddl_table.cc:301
binlog_format,"if (!using_limit && const_cond_result && !no_rows &&
      !(specialflag & SPECIAL_NO_NEW_FUNC) &&
      ((!thd->is_current_stmt_binlog_format_row() ||  
        thd->is_current_stmt_binlog_disabled()) &&    
       !has_delete_triggers)) ",sql/sql_delete.cc:248,sql/sql_delete.cc:253,23,sql/sql_delete.cc:289
binlog_format, if (!thd->is_current_stmt_binlog_format_row() || table->s->tmp_table),sql/sql_insert.cc:2985,sql/sql_insert.cc:2986,24,sql/sql_insert.cc:3010
binlog_format,if (thd->is_current_stmt_binlog_format_row()),sql/sql_load.cc:643,sql/sql_load.cc:644,25,sql/sql_load.cc:651
binlog_format," if (thd->variables.binlog_format == BINLOG_FORMAT_STMT &&
      thd->lex->drop_temporary && (thd->in_sub_stmt & SUB_STMT_FUNCTION) &&
      thd->binlog_evt_union.do_union) ",sql/sql_table.cc:1694,sql/sql_table.cc:1704,26,sql/sql_table.cc:1707
binlog_format,"if (!thd->is_current_stmt_binlog_format_row() ||
        (thd->is_current_stmt_binlog_format_row() &&
         !(create_info->options & HA_LEX_CREATE_TMP_TABLE)))",sql/sql_table.cc:9867,sql/sql_table.cc:9870,27,sql/sql_table.cc:9876
binlog_format," if (!thd->is_current_stmt_binlog_disabled() &&
      thd->is_current_stmt_binlog_format_row())",sql/sql_table.cc:10063,sql/sql_table.cc:10680,28,sql/sql_table.cc:10767
binlog_format,if (thd->variables.binlog_format == BINLOG_FORMAT_STMT),sql/sql_table.cc:15733,sql/sql_table.cc:15734,29,sql/sql_table.cc:15741
binlog_format,"if (!m_auto_increment_safe_stmt_log_lock &&
      thd->lex->sql_command != SQLCOM_INSERT &&
      binlog_format != BINLOG_FORMAT_UNSPEC &&
      binlog_format != BINLOG_FORMAT_ROW)",sql/partitioning/partition_handler.cc:731,sql/partitioning/partition_handler.cc:736,30,sql/partitioning/partition_handler.cc:740
binlog_format,if (lock_type == F_WRLCK && !(table_flags() & HA_BINLOG_STMT_CAPABLE) &&thd_binlog_format(thd) == BINLOG_FORMAT_STMT &&thd_binlog_filter_ok(thd) && thd_sqlcom_can_generate_row_events(thd)),storage/innobase/handler/ha_innodb.cc:17981,storage/innobase/handler/ha_innodb.cc:17983,31,storage/innobase/handler/ha_innodb.cc:17999
binlog_format,"if (!(thd_test_options(thd, OPTION_BIN_LOG)) ||
        thd->variables.binlog_format == BINLOG_FORMAT_STMT) ",storage/ndb/plugin/ha_ndbcluster.cc:7336,storage/ndb/plugin/ha_ndbcluster.cc:7337,32,storage/ndb/plugin/ha_ndbcluster.cc:7340
binlog_format,  if (global_system_variables.binlog_format == BINLOG_FORMAT_STMT) ,storage/ndb/plugin/ha_ndbcluster.cc:12421,storage/ndb/plugin/ha_ndbcluster.cc:12425,33,storage/ndb/plugin/ha_ndbcluster.cc:12421
binlog_format,if (thd->variables.binlog_format == BINLOG_FORMAT_STMT),storage/ndb/plugin/ha_ndbcluster.cc:12850,storage/ndb/plugin/ha_ndbcluster.cc:12851,34,storage/ndb/plugin/ha_ndbcluster.cc:12850
binlog_error_action,if (binlog_error_action == ABORT_SERVER),sql/binlog.cc:3760,sql/binlog.cc:3761,35,sql/binlog.cc:3768
binlog_error_action,if (binlog_error_action == ABORT_SERVER) ,sql/binlog.cc:5025,sql/binlog.cc:5026,36,sql/binlog.cc:5033
binlog_error_action,if (binlog_error_action != ABORT_SERVER),sql/binlog.cc:6474,sql/binlog.cc:6475,37,sql/binlog.cc:6474
binlog_error_action,if (binlog_error_action == ABORT_SERVER),sql/binlog.cc:6614,sql/binlog.cc:6615,38,sql/binlog.cc:6612
binlog_error_action,if (binlog_error_action == ABORT_SERVER),sql/binlog.cc:8688,sql/binlog.cc:8689,39,sql/binlog.cc:8693
binlog_error_action," if ((opt_binlog_order_commits || Clone_handler::need_commit_order()) &&
      (sync_error == 0 || binlog_error_action != ABORT_SERVER))",sql/binlog.cc:8896,sql/binlog.cc:8897,40,sql/binlog.cc:8936
binlog_direct_non_transactional_updates,"  if (lex->is_mixed_stmt_unsafe(multi_stmt_trans, binlog_direct, trans_table,
                                  tx_isolation))",sql/binlog.cc:10248,sql/binlog.cc:10250,41,sql/binlog.cc:10253
binlog_encryption,if (rpl_encryption.is_enabled()),sql/binlog_ostream.cc:205,sql/binlog_ostream.cc:206,42,sql/binlog_ostream.cc:219
binlog_encryption,if (rpl_encryption.is_enabled()),sql/binlog_ostream.cc:132,sql/binlog_ostream.cc:133,43,sql/binlog_ostream.cc:136
binlog_encryption,if (!existing && rpl_encryption.is_enabled()),sql/binlog.cc:296,sql/binlog.cc:297,44,sql/binlog.cc:304
binlog_encryption,if (!rpl_encryption.is_enabled()),sql/sql_alter_instance.cc:214,sql/sql_alter_instance.cc:215,45,sql/sql_alter_instance.cc:219
binlog_checksum,"if (alg != binary_log::BINLOG_CHECKSUM_ALG_UNDEF &&
      (event_type == binary_log::FORMAT_DESCRIPTION_EVENT ||
       alg != binary_log::BINLOG_CHECKSUM_ALG_OFF))",sql/binlog_reader.cc:197,sql/binlog_reader.cc:200,46,sql/binlog_reader.cc:197
binlog_checksum," if (ev->common_footer->checksum_alg != binary_log::BINLOG_CHECKSUM_ALG_OFF &&
      ev->common_footer->checksum_alg != binary_log::BINLOG_CHECKSUM_ALG_UNDEF)",sql/binlog_reader.cc:327,sql/binlog_reader.cc:329,47,sql/binlog_reader.cc:327
binlog_checksum,if (relay_log_checksum_alg == binary_log::BINLOG_CHECKSUM_ALG_UNDEF),sql/binlog.cc:4855,sql/binlog.cc:4857,48,sql/binlog.cc:4855
binlog_checksum,if (checksum_alg_reset != binary_log::BINLOG_CHECKSUM_ALG_UNDEF) ,sql/binlog.cc:6553,sql/binlog.cc:6554,49,sql/binlog.cc:6553
binlog_checksum, if (common_footer->checksum_alg != binary_log::BINLOG_CHECKSUM_ALG_UNDEF),sql/log_event.cc:1213,sql/log_event.cc:1214,50,sql/log_event.cc:1219
binlog_checksum,if (common_footer->checksum_alg == binary_log::BINLOG_CHECKSUM_ALG_UNDEF),sql/log_event.cc:1231,sql/log_event.cc:1232,51,
binlog_checksum," if (common_footer->checksum_alg != binary_log::BINLOG_CHECKSUM_ALG_OFF &&
      common_footer->checksum_alg != binary_log::BINLOG_CHECKSUM_ALG_UNDEF)",sql/log_event.cc:1414,sql/log_event.cc:1415,52,sql/log_event.cc:1425
binlog_checksum,if (fd_event->footer()->checksum_alg != binary_log::BINLOG_CHECKSUM_ALG_OFF),sql/log_event.cc:5216,sql/log_event.cc:5217,53,sql/log_event.cc:5216
binlog_checksum,"if (m_slave_checksum_alg == binary_log::BINLOG_CHECKSUM_ALG_UNDEF &&
      event_checksum_on()) ",sql/rpl_binlog_sender.cc:1106,sql/rpl_binlog_sender.cc:1112,54,sql/rpl_binlog_sender.cc:1116
binlog_checksum,"if (new_fdle->common_footer->checksum_alg ==
          binary_log::BINLOG_CHECKSUM_ALG_UNDEF)",sql/rpl_slave.cc:7736,sql/rpl_slave.cc:7737,55,sql/rpl_slave.cc:7736
big_tables,if ((thd->variables.big_tables) && !(select_options & SELECT_SMALL_RESULT)),/sql/sql_tmp_table.cc:1988,sql/sql_tmp_table.cc:1989,56,sql/sql_tmp_table.cc:1988
auto_generate_certs,if (opt_auto_generate_certs == true),sql/auth/sql_authentication.cc:5136,sql/auth/sql_authentication.cc:5142,57,sql/auth/sql_authentication.cc:5204
automatic_sp_privileges," if (sp_automatic_privileges && !opt_noacl &&
  check_routine_access( thd, DEFAULT_CREATE_PROC_ACLS, lex->sphead->m_db.str, name,lex->sql_command == SQLCOM_CREATE_PROCEDURE, true)) ",sql/sql_parse.cc:4128,sql/sql_parse.cc:4132,58,sql/sql_parse.cc:4143
automatic_sp_privileges,"  if (sp_result != SP_DOES_NOT_EXISTS && sp_automatic_privileges &&
 !opt_noacl && sp_revoke_privileges(thd, db, name,lex->sql_command == SQLCOM_DROP_PROCEDURE))",sql/sql_parse.cc:4248,sql/sql_parse.cc:4252,59,sql/sql_parse.cc:4258
avoid_temporal_upgrade,"if ((error = check_table_for_old_types(table, check_temporal_upgrade)))",sql/handler.cc:4644,sql/handler.cc:4645,60,sql/handler.cc:4646
avoid_temporal_upgrade," if ((check_table_for_old_types(table->table, check_temporal_upgrade) ==HA_ADMIN_NEEDS_ALTER) ||
(table->table->file->ha_check_for_upgrade(check_opt) ==
   HA_ADMIN_NEEDS_ALTER)) ",sql/sql_admin.cc:899,sql/sql_admin.cc:903,61,sql/sql_admin.cc:899
avoid_temporal_upgrade,if (check_temporal_upgrade),sql/sql_table.cc:16395,sql/sql_table.cc:16396,62,sql/sql_table.cc:16404
clone_autotune_concurrency,if (!clone_autotune_concurrency) ,plugin/clone/src/clone_client.cc:755,plugin/clone/src/clone_client.cc:757,63,plugin/clone/src/clone_client.cc:763
clone_autotune_concurrency,if (!clone_autotune_concurrency) ,plugin/clone/src/clone_local.cc:144,plugin/clone/src/clone_local.cc:146,64,plugin/clone/src/clone_local.cc:158
clone_max_network_bandwidth,if (max_net != 0),plugin/clone/src/clone_client.cc:302,plugin/clone/src/clone_client.cc:303,65,plugin/clone/src/clone_client.cc:308
clone_max_network_bandwidth,if (clone_max_network_bandwidth > 0) ,plugin/clone/src/clone_client.cc:672,plugin/clone/src/clone_client.cc:676,66,plugin/clone/src/clone_client.cc:684
"innodb_buffer_pool_instances,innodb_buffer_pool_size",if (size * srv_buf_pool_instances > srv_buf_pool_size),storage/innobase/buf/buf0buf.cc:1998,storage/innobase/buf/buf0buf.cc:1999,67,storage/innobase/buf/buf0buf.cc:2004
innodb_buffer_pool_instances,if (srv_buf_pool_instances > 1) ,storage/innobase/buf/buf0buf.cc:6395,storage/innobase/buf/buf0buf.cc:6396,68,storage/innobase/buf/buf0buf.cc:6401
innodb_buffer_pool_instances,if (srv_buf_pool_instances > 1) ,storage/innobase/buf/buf0buf.cc:6420,storage/innobase/buf/buf0buf.cc:6421,69,storage/innobase/buf/buf0buf.cc:6426
innodb_buffer_pool_instances,if (srv_buf_pool_instances == srv_buf_pool_instances_default),storage/innobase/handler/ha_innodb.cc:4142,storage/innobase/handler/ha_innodb.cc:4152,70,storage/innobase/handler/ha_innodb.cc:4158
innodb_buffer_pool_instances, if (srv_n_page_cleaners > srv_buf_pool_instances),storage/innobase/handler/ha_innodb.cc:4662,storage/innobase/handler/ha_innodb.cc:4665,71,storage/innobase/handler/ha_innodb.cc:4668
innodb_buffer_pool_instances,if (srv_buf_pool_instances > 1 &&buffer_pool_size < BUF_POOL_SIZE_THRESHOLD),storage/innobase/handler/ha_innodb.cc:19664,storage/innobase/handler/ha_innodb.cc:19669,72,storage/innobase/handler/ha_innodb.cc:19682
innodb_buffer_pool_load_at_startup,if (srv_buffer_pool_load_at_startup) ,storage/innobase/buf/buf0dump.cc:676,storage/innobase/buf/buf0dump.cc:677,73,storage/innobase/buf/buf0dump.cc:680
innodb_buffer_pool_size,if (srv_buf_pool_curr_size == 0) ,storage/innobase/buf/buf0buf.cc:1183,storage/innobase/buf/buf0buf.cc:1184,74,storage/innobase/buf/buf0buf.cc:1186
max_heap_table_size,if (rowlen * distinct_rowcount < join->thd->variables.max_heap_table_size),sql/sql_optimizer.cc:10631,sql/sql_optimizer.cc:10632,75,sql/sql_optimizer.cc:10634
max_heap_table_size,if (tab->table()->s->reclength * inner_query_rowcount <thd->variables.max_heap_table_size),sql/sql_planner.cc:917,sql/sql_planner.cc:919,76,sql/sql_planner.cc:921
max_heap_table_size, if (outer_fanout * rowsize < thd->variables.max_heap_table_size),sql/sql_planner.cc:3977,sql/sql_planner.cc:3978,77,sql/sql_planner.cc:3980
tmp_table_size, if (thd->variables.tmp_table_size == ~(ulonglong)0),sql/sql_tmp_table.cc:2123,sql/sql_tmp_table.cc:2124,78,sql/sql_tmp_table.cc:2126
long_query_time, if (my_micro_time() > utime_after_lock + variables.long_query_time),sql/sql_class.cc:2833,sql/sql_class.cc:2834,79,sql/sql_class.cc:2833
select_limit, if (!(unit->global_parameters()->select_limit = new Item_int(1))) ,sql/item_subselect.cc:376,sql/item_subselect.cc:376,80,sql/item_subselect.cc:377
select_limit,if (unit->global_parameters()->select_limit == nullptr ||unit->global_parameters()->select_limit->val_uint() > 0),sql/item_subselect.cc:1464,sql/item_subselect.cc:1465,81,sql/item_subselect.cc:1470
select_limit, if (select_limit != nullptr),sql/sql_lex.cc:2406,sql/sql_lex.cc:2407,82,sql/sql_lex.cc:2411
select_limit,if (!tab->condition() && select_limit != HA_POS_ERROR &&select_limit <= ft_func->get_count()),sql/sql_optimizer.cc:2042,sql/sql_optimizer.cc:2050,83,sql/sql_optimizer.cc:2069
select_limit,"if (!is_force_index && (select_limit >= table_records) &&(tab->type() == JT_ALL &&
join->primary_tables > join->const_tables + 1) &&((unsigned)best_key != table->s->primary_key ||!table->file->primary_key_is_clustered())) ",sql/sql_optimizer.cc:2267,sql/sql_optimizer.cc:2272,84,sql/sql_optimizer.cc:2276
select_limit,if (tab->type() == JT_INDEX_SCAN &&select_limit < table->file->stats.records),sql/sql_optimizer.cc:2502,sql/sql_optimizer.cc:2505,85,sql/sql_optimizer.cc:2510
select_limit,if (select_limit != nullptr) ,sql/sql_resolver.cc:869,sql/sql_resolver.cc:870,86,sql/sql_resolver.cc:879
select_limit," if (select_limit != nullptr &&
      (!select_limit->const_item() || select_limit->val_int() == 0))",sql/sql_resolver.cc:1298,sql/sql_resolver.cc:1299,87,sql/sql_resolver.cc:1301
select_limit," if (is_covering || select_limit != HA_POS_ERROR ||
          (ref_key < 0 && (group || table->force_index_order))) ",sql/sql_select.cc:4985,sql/sql_select.cc:4987,88,sql/sql_select.cc:4985
select_limit,if (select_limit == HA_POS_ERROR),sql/sql_select.cc:4989,sql/sql_select.cc:4989,89,sql/sql_select.cc:4990
select_limit,if (select_limit > table_records / rec_per_key),sql/sql_select.cc:5007,sql/sql_select.cc:5008,90,sql/sql_select.cc:5010
select_limit,if (select_limit > refkey_rows_estimate),sql/sql_select.cc:5039,sql/sql_select.cc:5040,91,sql/sql_select.cc:5042
select_limit,if (multitable && select->select_limit) ,sql/sql_update.cc:1658,sql/sql_update.cc:1659,92,sql/sql_update.cc:1662
select_limit," if ((!view->is_view() && !view->belong_to_view) ||
      thd->lex->sql_command == SQLCOM_INSERT ||
      thd->lex->select_lex->select_limit == nullptr)",sql/sql_view.cc:1893,sql/sql_view.cc:1894,93,sql/sql_view.cc:1896
select_limit,if (unit->select_limit_cnt != HA_POS_ERROR || unit->offset_limit_cnt != 0),sql/join_optimizer/join_optimizer.cc:845,sql/join_optimizer/join_optimizer.cc:846,94,sql/join_optimizer/join_optimizer.cc:845
select_limit,if (unit->select_limit_cnt != HA_POS_ERROR || unit->offset_limit_cnt != 0) ,sql/sql_executor.cc:3133,sql/sql_executor.cc:3134,95,sql/sql_executor.cc:3140
select_limit,if (unit->select_limit_cnt == 0 && !calc_found_rows) ,sql/sql_optimizer.cc:360,sql/sql_optimizer.cc:361,96,sql/sql_optimizer.cc:360
max_join_size , if (global_system_variables.max_join_size == HA_POS_ERROR(0)),sql/mysqld.ccï¼?0274,sql/mysqld.ccï¼?0275,97,sql/mysqld.cc:0277
max_join_size ,if (!(thd->variables.option_bits & OPTION_BIG_SELECTS) &&best_read > (double)thd->variables.max_join_size &&!thd->lex->is_explain()),sql/sql_optimizer.ccï¼?064,sql/sql_optimizer.ccï¼?067,98,sql/sql_optimizer.cc:072
auto_increment_increment ,if (variables->auto_increment_increment == 1),sql/handler.ccï¼?552,sql/handler.ccï¼?553,99,sql/handler.cc:555
auto_increment_increment ,if (variables->auto_increment_increment == 1),sql/handler.ccï¼?605,sql/handler.ccï¼?606,100,sql/handler.cc:607
auto_increment_incrementï¼Œauto_increment_offset,if (auto_increment_increment != 1 || auto_increment_offset != 1) ,sql/log_event.ccï¼?497,sql/log_event.ccï¼?498,101,sql/log_event.cc:503
auto_increment_incrementï¼Œauto_increment_offset,"if (print_event_info->auto_increment_increment != auto_increment_increment ||
      print_event_info->auto_increment_offset != auto_increment_offset)",sql/log_event.ccï¼?322,sql/log_event.ccï¼?323,102,sql/log_event.cc:334
lock_wait_timeout,"if (thd->mdl_context.acquire_locks(&mdl_requests,
  thd->variables.lock_wait_timeout))",sql/dd_sql_view.cc:349,sql/dd_sql_view.cc:351,103,
lock_wait_timeout," if (thd->mdl_context.acquire_lock(&schema_request,
                                        thd->variables.lock_wait_timeout))",sql/dd_sql_view.cc:429,sql/dd_sql_view.cc:431,104,
lock_wait_timeout,"if (thd>mdl_context.acquire_lock(&event_mdl_request,
thd->variables.lock_wait_timeout))",sql/event_scheduler.cc:385,sql/event_scheduler.cc:387,105,
lock_wait_timeout,"if (thd>mdl_context.acquire_lock(&event_mdl_request,
thd->variables.lock_wait_timeout))",sql/lock.cc:758,sql/lock.cc:760,106,
lock_wait_timeout,"if (thd>mdl_context.acquire_lock(&event_mdl_request,
thd->variables.lock_wait_timeout))",sql/lock.cc:1016,sql/lock.cc:1017,107,
lock_wait_timeout, if (lock_wait_timeout == 0),sql/mdl.ccï¼?352,sql/mdl.ccï¼?362,108,sql/mdl.cc:375
lock_wait_timeout,"if (thd->mdl_context.acquire_lock(&table_request,
thd->variables.lock_wait_timeout))",sql/mysqld.ccï¼?1570,sql/mysqld.ccï¼?1573,109,
lock_wait_timeout, if (lock_wait_timeout < 100000000 && wait_time > (double)lock_wait_timeout &&!trx_is_high_priority(trx)),storage/innobase/lock/lock0wait.ccï¼?51,storage/innobase/lock/lock0wait.ccï¼?53,110,storage/innobase/lock/lock0wait.cc:58
lock_wait_timeout,if (lock_wait_timeout < 100000),storage/innobase/dict/dict0dict.ccï¼?929,storage/innobase/dict/dict0dict.ccï¼?930,111,storage/innobase/dict/dict0dict.cc:932
lock_wait_timeout,"if (thd>mdl_context.acquire_lock(&event_mdl_request,
thd->variables.lock_wait_timeout))",sql/sql_table.ccï¼?704,sql/sql_table.ccï¼?706,112,
lock_wait_timeout,"if (lock_tablespace_names(thd, &tablespace_set,
  thd->variables.lock_wait_timeout))",sql/sql_table.ccï¼?0550,sql/sql_table.ccï¼?0552,113,
innodb_change_buffering_debug,"if ((m_mode == Page_fetch::IF_IN_POOL ||
       m_mode == Page_fetch::IF_IN_POOL_OR_WATCH) &&
      (ibuf_debug || buf_debug_execute_is_force_flush())) ",storage/innobase/buf/buf0buf.ccï¼?999,storage/innobase/buf/buf0buf.ccï¼?005,114,storage/innobase/buf/buf0buf.cc:077
innodb_change_buffering_debug,if (ibuf_debug && !index->is_clustered()),storage/innobase/dict/dict0stats.ccï¼?36,storage/innobase/dict/dict0stats.ccï¼?37,115,storage/innobase/dict/dict0stats.cc:40
innodb_change_buffering_debug,f (ibuf_debug) ,storage/innobase/ibuf/ibuf0ibuf.ccï¼?445,storage/innobase/ibuf/ibuf0ibuf.ccï¼?446,116,storage/innobase/ibuf/ibuf0ibuf.cc:449
innodb_change_buffering_debug, if (ibuf_debug == 2),storage/innobase/ibuf/ibuf0ibuf.ccï¼?946,storage/innobase/ibuf/ibuf0ibuf.ccï¼?953,117,storage/innobase/ibuf/ibuf0ibuf.cc:962
innodb_checkpoint_disabled,if (*(bool *)save && !srv_checkpoint_disabled) ,storage/innobase/handler/ha_innodb.ccï¼?0906,storage/innobase/handler/ha_innodb.ccï¼?0911,118,storage/innobase/handler/ha_innodb.cc:0906
